PHASE 77 - STEP 1: COMPLETE FUNCTION INVENTORY
===============================================
Phase: 77
Date: 2026-09-24
Environment: READ-ONLY code audit. NO production mutations. NO browser automation available. NO Vercel dashboard access.
Method: Static inspection of backend/apps/* (37 apps), backend/config/urls.py, frontend/src (58 pages, 13 components, 14 utility modules), test files, prior-phase artifacts (PHASE_73/75/76).
Status taxonomy (Phase 75/76 rules): WORKING_PROVEN | READ_ONLY_PROVEN | IMPLEMENTED_UNVERIFIED | AUTH_TEST_BLOCKED | MUTATION_BLOCKED | DEPLOYMENT_UNVERIFIED | BROKEN | NOT_APPLICABLE.
Overall_status = highest defensible label; IMPLEMENTED_UNVERIFIED is default for source-complete features whose production operation is unproven; AUTH_TEST_BLOCKED noted where authentication is the only blocker; MUTATION_BLOCKED where feature requires production data write with no authorized path.
Roles: 18 canonical roles from backend/apps/accounts/models.py Role enum (super_admin, org_admin, head_office, admin, principal, vice_principal, campus_admin, academic, accountant, hr, receptionist, librarian, guard, nurse, teacher, parent, student, staff).

Columns:
id | module | category | name | purpose | frontend | backend | api | roles | implemented | implemented_correctly | test_coverage | integrated | production_status | overall_status | evidence | notes
FUNC-0099|PAYROLL|Payroll|Payroll records lifecycle|Draft->processed->approved->paid, payslips, bank file|PayrollPage.jsx|apps/payroll (PayrollRecordListView/DetailView/ProcessView/ApproveView/PayView, PayslipGenerateView, PayslipListView, PayrollBankFileView, PayrollPayslipPdfView; PayrollRecord, Payslip models)|GET/POST /api/payroll/records/, /{pk}/, /{pk}/process|approve|pay|, /payslips/, /records/bank-file/|super_admin,admin,principal,academic,accountant,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (PayrollRecordTests, PayrollLifecycleTests, PayrollExportTests)|INTEGRATED (PayrollPage)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Payroll lifecycle tests present|Processing/paying = mutation + external bank file; explicit PHASE_73 blocker

FUNC-0100|HR|HR|Departments/designations/employees|Employee records, contracts, documents, workload, reviews|src/pages/HRPage.jsx|apps/hr (Department*, Designation*, Employee*, EmploymentContract*, EmployeeDocument*, EmployeeWorkload*, EmployeeReview*, EmploymentEvent*; +25 models)|GET/POST /api/hr/departments/, /designations/, /employees/, /{pk}/, /{eid}/contracts/, /documents/, /workload/, /reviews/, /employment-events/|super_admin,admin,principal,vice_principal,campus_admin,hr,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (HRModelTests, HREmployeeCreationTests)|INTEGRATED (HRPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|HR tests present; note duplicate url names observed in hr/urls.py|Duplicate route names may shadow resolution (technical note)

FUNC-0101|HR|Leave management|Leave types/policies/balances/requests|Leave config + requests + action (approve/reject)|StaffOperationsPage.jsx, HRPage.jsx|apps/hr (LeaveType*, LeavePolicy*, LeaveBalance*, LeaveRequest*, LeaveRequestActionView; LeaveType, LeavePolicy, LeaveBalance, LeaveRequest models)|GET/POST /api/hr/leave-types/, /leave-policies/, /leave-balances/, /leave-requests/, /{pk}/{action}/|super_admin,admin,principal,vice_principal,campus_admin,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (covered in HR basics)|INTEGRATED (StaffOperationsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0102|HR|Compensation components|Allowances/deductions/bonuses/overtime/loans/advances/salary revisions|Payroll inputs managed in HR|HRPage.jsx, PayrollPage.jsx|apps/hr (Allowance*, Deduction*, Bonus*, Overtime*, Loan*, Advance*, SalaryRevision*; matching models)|GET/POST /api/hr/allowances/, /deductions/, /bonuses/, /overtime/, /{pk}/{action}/, /loans/, /advances/, /salary-revisions/|super_admin,admin,principal,vice_principal,campus_admin,hr,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0103|HR|Payroll periods|Payroll period workflow (open/close)|HRPage.jsx|apps/hr (PayrollPeriodListCreateView, PayrollPeriodActionView; PayrollPeriod model)|GET/POST /api/hr/payroll-periods/, /{pk}/{action}/|super_admin,admin,hr,accountant|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Period state = mutation|-

FUNC-0104|HR|Recruitment|Job positions/candidates/applications/interviews|Recruitment pipeline|HRPage.jsx|apps/hr (JobPosition*, Candidate*, Application*, Interview*, InterviewActionView; JobPosition, Candidate, Application, Interview models)|GET/POST /api/hr/job-positions/, /candidates/, /applications/, /interviews/, /{pk}/{action}/|super_admin,admin,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0105|HR|Exit process|Exit clearances + clearance item actions|Exit clearance workflow|HRPage.jsx|apps/hr (ExitClearance*, ClearanceItemActionView; ExitClearance, ClearanceItem models)|GET/POST /api/hr/exit-clearances/, /{pk}/, /clearance-items/{pk}/{action}/|super_admin,admin,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0106|REPORTS|Reports|Report definitions catalog|~25 report definitions with render/download|src/pages/ReportsPage.jsx|apps/reports (ReportsRootView + 100+ report views; ReportDefinition, ReportCategory, SavedReport, ReportTemplate models)|GET /api/reports/ (catalog), many report endpoints|super_admin,admin,principal,academic,accountant,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (CoreCatalogTests, PermissionTests, CampusFilterTests, CampusScopedUserTests)|INTEGRATED (ReportsPage, SingleDetailReports)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Reports catalog tested; report views inspected in urls.py|100+ endpoint registrations (see PHASE_77_END_TO_END trace)

FUNC-0107|REPORTS|Reports|Report builder|Custom report builder (9 types) + save templates|src/pages/ReportBuilderPage.jsx|apps/reports (ReportGenerateView, ReportTemplate*View, CustomReport/CustomReportDataSource models)|POST /api/reports/generate/, /templates/, /{pk}/, /templates/{pk}/preview/|super_admin,admin,principal,academic,accountant,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED (ReportBuilderPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0108|REPORTS|Reports|Data export/backup|Prebuilt exports + JSON backup|src/pages/ExportPage.jsx|apps/reports (DataExportListView, DataExportView, DataBackupView)|GET /api/reports/export/, /export/{key}/, /backup/|super_admin,admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED (ExportPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|Backup generation unverified

FUNC-0109|REPORTS|Reports|CSV import (2-phase)|Template download, preview, commit|src/pages/DataImportPage.jsx|apps/reports (ImportTemplateView, ImportPreviewView, ImportCommitView)|GET /api/reports/import/templates/{key}/, POST /preview/, /commit/|super_admin,admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED|INTEGRATED (DataImportPage)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Import commit = data mutation|-

FUNC-0110|REPORTS|Reports|Weekly email cron + system health|Scheduled weekly report email + system health view|HealthPage.jsx|apps/reports (WeeklyReportEmailCronView, SystemHealthView)|GET /api/reports/cron/email-weekly/, /health/|super_admin,admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (saas HealthCheckTests incl.)|INTEGRATED (HealthPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Routes present|-

FUNC-0111|SEARCH|Search|Global search|Cross-entity search|src/pages/SettingsPage.jsx etc.|apps/search (GlobalSearchView)|GET /api/search/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO DEDICATED TESTS (dashboard search isolate tests exist: SearchFilterPaginationTests, SearchPaginationSecurityTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|GlobalSearchView present; search isolation tests under dashboard|-

FUNC-0112|DOCUMENTS|Documents|Document vault|Upload/list/search employee+student documents, expiry tracking|src/pages/DocumentsPage.jsx|apps/documents (DocumentListView, DocumentUploadView)|GET /api/documents/, POST /upload/|super_admin,admin,principal,academic,accountant,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO DEDICATED TESTS (document isolation tests in students/test_phase7_documents.py)|INTEGRATED (DocumentsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Isolation tests in students app|-

FUNC-0113|DOCUMENTS|Media|Protected media serving|Serve uploaded media with authorization + public branding media|Branding/Profile pages|apps/schools (ProtectedMediaView, PublicBrandingMediaView)|GET media/school/branding/<path>, media/<path>|scoped read|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (ProtectedMediaAccessTests, MediaFileSecurityTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Media tests present|-

FUNC-0114|DISCIPLINE|Discipline|Incident logging + actions|Incident CRUD, actions, summary|src/pages/DisciplinePage.jsx|apps/discipline (IncidentListCreateView, IncidentDetailView, IncidentActionListCreateView, DisciplineSummaryView; Incident, DisciplinaryAction models)|GET/POST /api/discipline/incidents/, /{pk}/, /{incident_id}/actions/, /summary/|super_admin,admin,principal,vice_principal,campus_admin,teacher|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO DEDICATED TESTS (discipline has no tests.py)|INTEGRATED (DisciplinePage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|No discipline tests present|-

FUNC-0115|HEALTH|Health|Health records CRUD|Checkup/illness/injury/allergy/vaccination/screening records|src/pages/HealthRecordsPage.jsx|apps/health (HealthRecordListCreateView, HealthRecordDetailView, HealthRecord model)|GET/POST /api/health-records/, /{pk}/|super_admin,admin,principal,vice_principal,campus_admin,teacher,nurse|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO DEDICATED TESTS (health has no tests.py; HealthRecordCampusFromEnrollmentTests in accounts)|INTEGRATED (HealthRecordsPage)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|Record creation = mutation|nurse role in canonical enum

FUNC-0116|HOMEWORK|Homework|Homework + submissions + grading|Assignments, submissions, grading/feedback|src/pages/HomeworkPage.jsx|apps/homework (HomeworkListCreateView, HomeworkDetailView, SubmissionListCreateView, GradeSubmissionView; Homework, Submission models)|GET/POST /api/homework/, /{pk}/, /{hid}/submissions/, /submissions/{pk}/grade/|super_admin,admin,principal,academic,teacher,student,parent|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO DEDICATED TESTS (homework has no tests.py)|INTEGRATED (HomeworkPage isStudent-aware)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|No homework tests present|-

FUNC-0117|HOSTEL|Hostel|Hostels/rooms/allocations|Hostel, room, allocation + vacate|src/pages/HostelPage.jsx|apps/hostel (Hostel*, Room*, Allocation*, HostelRoomSelectorView; Hostel, Room, Allocation models)|GET/POST /api/hostel/hostels/, /{pk}/, /room-hostels/, /rooms/, /allocations/, /{pk}/vacate/|super_admin,admin,principal,vice_principal,campus_admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (HostelRoomSelectorTests, HostelRoomSecurityTests, HostelAddRoomEndToEndTests, AllocationActiveSchoolPolicyTests)|INTEGRATED (HostelPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Hostel tests present (pytest_hostel historical 0-tests resolved)|Allocation = mutation

FUNC-0118|LMS|LMS|Courses/lessons/quizzes|Online courses, lessons, lesson completion, quizzes, MCQ attempts, progress|src/pages/LMSPage.jsx|apps/lms (Course*, Lesson*, MarkLessonCompleteView, Quiz*, Question*, SubmitQuizAttemptView, QuizAttempt*, MyProgressView; Course, Lesson, LessonCompletion, Quiz, Question, QuizAttempt models)|GET/POST /api/lms/courses/, /{pk}/, /{course_id}/lessons/..., /lessons/{id}/complete/, /my-progress/, /quizzes/..., /quizzes/{id}/submit/, /quizzes/{id}/attempts/, /quizzes/{id}/my-attempt/|super_admin,admin,principal,academic,teacher,student|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO DEDICATED TESTS (lms has no tests.py; pytest_lms historical 0-tests)|INTEGRATED (LMSPage isStudent-aware)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|No lms tests; duplicate/overriding url patterns observed in lms/urls.py|URL pattern shadowing risk (technical note)

FUNC-0119|PORTAL|Portal|Teacher/student/parent portals|Portal dashboards for the three roles|src/pages/ParentPortalPage.jsx|apps/portal (teacher_portal, student_portal, parent_portal)|GET /api/portal/teacher/, /student/, /parent/|teacher,student,parent|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (TeacherPortalTests, StudentPortalTests, PortalAnnouncementTests, ParentPortalTests)|INTEGRATED (ParentPortalPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Portal tests present|-

FUNC-0120|WHITE_LABEL|White label|Branding/theme/domains|White-label branding, theme preview, CSS variables, domain mapping|src/pages/BrandingPage.jsx|apps/white_label (WhiteLabelBrandingView, ThemePreviewView, branding_css_variables, school_branding_config, SchoolSettingsView, DomainMapping*, SchoolBrandingPublicView, WhiteLabelAuditLog*; WhiteLabelBranding, DomainMapping, WhiteLabelAuditLog models)|GET/PUT /api/white-label/branding/, /theme-preview/, /css-variables/, /config/, /settings/, /domains/..., /public/{subdomain}/, /audit/|super_admin,admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (WhiteLabelBrandingTests, SchoolSettingsTests, DomainMappingTests, WhiteLabelAPITests, WhiteLabelAuditLogTests, WhiteLabelIntegrationTests)|INTEGRATED (BrandingPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Comprehensive white_label tests|-

FUNC-0121|WORKFLOW|Workflow|Definition CRUD + test + instances|Approval workflow definitions, instance lifecycle, stats, history|src/pages/WorkflowDefinitionAdminPage.jsx, WorkflowInstanceDetailPage.jsx, PendingApprovalsPage.jsx|apps/workflow (WorkflowDefinition*, WorkflowInstance*, WorkflowInstanceActionView, WorkflowTransitionListView, WorkflowApprovalListView; WorkflowDefinition, WorkflowInstance, WorkflowApproval, WorkflowTransition models)|GET/POST /api/workflow/definitions/, /create/, /{pk}/, /{pk}/test/, /instances/, /instances/stats/, /{pk}/, /{pk}/action/, /{pk}/history/, /approvals/|super_admin,admin,principal,vice_principal,campus_admin,academic,hr|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (WorkflowEngineTests, WorkflowApiTests)|INTEGRATED (Workflow components: DefinitionForm/List/TestModal, StateCard, ApprovalSteps, Timeline, ApprovalCard, ApprovalDecisionModal)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Workflow tests present|-

FUNC-0122|HELPDESK|Helpdesk|Ticket categories + staff tickets|Ticket CRUD, assign, resolve, reopen, messages|src/pages/HelpdeskPage.jsx|apps/helpdesk (TicketCategory*, Ticket*, TicketAssignView, TicketResolveView, TicketReopenView, TicketMessage*; TicketCategory, SupportTicket, TicketMessage models)|GET/POST /api/helpdesk/categories/, /tickets/, /{pk}/, /{pk}/assign|resolve|reopen|, /{pk}/messages/|super_admin,admin,principal,vice_principal,campus_admin,academic,hr,receptionist,guard,teacher,staff|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (HelpdeskStaffTests, HelpdeskSelfServiceTests)|INTEGRATED (HelpdeskPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Helpdesk tests present|-

FUNC-0123|HELPDESK|Helpdesk|Self-service my tickets|User opens/tracks own tickets|HelpdeskPage.jsx|apps/helpdesk (MyTicketsView, MyTicketCreateView, MyTicketDetailView)|GET/POST /api/helpdesk/my/tickets/, /create/, /{pk}/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (HelpdeskSelfServiceTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Self-service tests present|-

FUNC-0124|VISITORS|Visitors|Visitor check-in/out + stats|Check-in, checkout, stats, no-show, vehicles|src/pages/VisitorsPage.jsx|apps/visitors (VisitorListCreateView, VisitorDetailView, VisitorCheckOutView, VisitorStatsView; Visitor model)|GET/POST /api/visitors/visitors/, /{pk}/, POST /{pk}/checkout/, GET /stats/|super_admin,admin,principal,vice_principal,campus_admin,academic,hr,receptionist,guard,staff|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (GateTests: check-in/checkout, stats, campus scoping, role denial)|INTEGRATED (VisitorsPage)|PRODUCTION_UNVERIFIED|MUTATION_BLOCKED|GateTests present|Check-in/out = mutation

FUNC-0125|DIGITAL_IDS|Digital IDs|ID cards issue/revoke/payload|Issue, revoke, payload for students/teachers/staff|src/pages/DigitalIdsPage.jsx|apps/digital_ids (IdCardListCreateView, IdCardDetailView, IdCardRevokeView, IdCardPayloadView; IdCard model)|GET/POST /api/digital-ids/cards/, /{pk}/, /{pk}/revoke/, /{pk}/payload/|super_admin,admin,principal,vice_principal,campus_admin,academic,hr,receptionist,staff|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (DigitalCardTests: issue/reissue/revoke)|INTEGRATED (DigitalIdsPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|DigitalCardTests present|-

FUNC-0126|SAAS|SaaS|Feature flags|Feature flag admin, delete, current flags|TenantsPage.jsx|apps/saas (FeatureFlagAdminView, FeatureFlagDeleteView, CurrentFlagsView; FeatureFlag model)|GET/POST /api/saas/flags/, /{pk}/, /flags/current/|super_admin,org_admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (FeatureFlagServiceTests, FeatureFlagAdminAPITests, CurrentFlagsAPITests, FeatureFlagModelTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Feature flag tests present|-

FUNC-0127|SAAS|SaaS|Plans/subscriptions|Plans list, subscription summary, tenant subscription|TenantsPage.jsx|apps/saas (PlansListView, SubscriptionSummaryView, TenantSubscriptionView; Plan, Subscription models)|GET /api/saas/plans/, /subscription/, /tenants/{school_id}/subscription/|super_admin,org_admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (SubscriptionServiceTests, SubscriptionAPITests, PlansListAPITests, PlanTests, TenantProvisioningTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Subscription tests present|-

FUNC-0128|SAAS|SaaS|Usage analytics + platform overview|Daily usage snapshots, platform status, security overview|TenantsPage.jsx|apps/saas (UsageAnalyticsView, PlatformOverviewView, PlatformStatusView, SecurityOverviewView; DailyUsageSnapshot model)|GET /api/saas/analytics/usage/, /platform/overview/, /platform/status/, /security/|super_admin,org_admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (UsageAnalyticsServiceTests, UsageAnalyticsAPITests, PlatformOverviewTests, BruteForceAuditTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Analytics tests present|-

FUNC-0129|AI|AI|Assistant overview/ask/search/anomalies/insights/drafts|AI chat, entity search, anomaly scan, student/attendance/academic/finance insights, communication drafts|src/pages/AIAssistantPage.jsx (assistantApi.js)|apps/ai (AiOverviewView, AiAskView, AiSearchView, Ai*InsightsView, AiAnomaliesView, AiCommunicationDraftView)|GET/POST /api/ai/overview/, /ask/, /search/, /insights/students|attendance|academic|finance, /anomalies/, /communication/draft/|ANY_AUTHENTICATED (role-gated)|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (AiRoleGateTests, AiInstitutionRequiredTests, AiDenyOverlayTests, Ai*InsightsTests, AiTenantIsolationTests, AiCampusIsolationTests, AiTeacherSelfScopeTests)|INTEGRATED (assistantApi.js + AIAssistantPage)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|extensive phase_p5 AI tests; draft-only (no send)|-

FUNC-0130|CORE|Platform|Soft delete / campus / institution / audit mixins|Shared base mixins used across models|N/A|apps/core (SoftDeleteMixin, TimeStampedMixin, CampusScopedMixin, InstitutionScopedMixin, AuditableMixin)|N/A|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (via consuming apps)|N/A|PRODUCTION_UNVERIFIED|IMPLEMENTED_UNVERIFIED|Mixins in core/models.py consumed broadly|Infrastructure

FUNC-0131|CORE|Platform|Middleware (permissions/session/campus)|Request middleware for scoping + security|N/A|apps/core (middleware.py)|N/A|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (via isolation suites)|N/A|PRODUCTION_UNVERIFIED|IMPLEMENTED_UNVERIFIED|middleware.py present|Infrastructure

FUNC-0132|CORE|Platform|i18n (Urdu/English)|Language toggle + translation map|src/components/LanguageToggle.jsx, src/i18n.jsx|backend? (no dedicated backend i18n confirmed)|N/A|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO TEST|INTEGRATED (LanguageProvider)|PRODUCTION_UNVERIFIED|IMPLEMENTED_UNVERIFIED|Frontend i18n.jsx present|Backend translation unverified

FUNC-0133|CORE|Platform|Notifications/toasts/session watch|Toast system, session expiry watch, error boundary|src/toast.jsx, src/sessionWatch.js, src/components/ErrorBoundary.jsx|N/A|N/A|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO TEST|INTEGRATED (global fetch wrap)|PRODUCTION_UNVERIFIED|IMPLEMENTED_UNVERIFIED|sessionWatch dispatches pf:unauthorized/pf:forbidden|-

FUNC-0134|FRONTEND|UI|Route guards + navigation|RequireRoles guard, nav role/module gating|src/App.jsx (RequireRoles, navigation[], systemNavigation[])|N/A|N/A|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO TEST|INTEGRATED|PRODUCTION_UNVERIFIED|IMPLEMENTED_UNVERIFIED|Route table with 58 pages + guards reviewed|components/PermissionGate.jsx (PermissionGate/RoleGate/RequirePermission/RequireRole) NEVER imported anywhere -> dead code

FUNC-0135|FRONTEND|UI|Shared components|Modal, ErrorBoundary, LanguageToggle, CredentialDisplay, workflow components, ApprovalCard|src/components/*|N/A|N/A|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO TEST|INTEGRATED|PRODUCTION_UNVERIFIED|IMPLEMENTED_UNVERIFIED|13 components present|CredentialDisplay used for proof-of-work credentials

FUNC-0136|FRONTEND|Pages|102 secondary page routes|All 58 pages route-registered + lazy-loaded|src/App.jsx (React.lazy + Suspense)|N/A|N/A|per page|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO FRONTEND TESTS (0 frontend test files found)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|No frontend unit/E2E test suite present anywhere in repo|Route table reviewed in full

FUNC-0137|SECURITY|Security|Permission enforcement|IsGlobal, allowed-campus, permission checks on API|N/A|apps/accounts (permissions.py?) + middleware|scoped|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (IsGlobalTests, UserAllowedCampusTests, CampusAccessTests, AssertCampusAllowedTests, CampusIsolatedEventListTests, PermissionModelTests, IDORProtectionTest, CampusScopingTest)|N/A|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Extensive access/permission/isolation tests|-

FUNC-0138|SECURITY|Security|Tenant isolation|Cross-school/campus data isolation|N/A|all apps|scoped|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (extensive) (test_tenant_isolation in apps/tests + per-app isolation tests)|N/A|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Across-app isolation suites confirmed|-

FUNC-0139|SECURITY|Security|Password exposure checks|Reject common/exposed passwords|accounts (PasswordExposureTests)|-|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (PasswordExposureTests)|N/A|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|-|-

FUNC-0140|SECURITY|Security|Super-admin integrity|Prevent super-admin escalation/coupling|accounts (SuperAdminIntegrityTests, RoleEscalationTests, SuperAdminCouplingTests, IntegrityCommandTests, WrongSchoolAssignmentTests)|-|super_admin|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (as named)|N/A|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Role security suite present|-

FUNC-0141|CORE|Identity|Deployment identity / revision marker|Prove exact deployed commit via deploy-test endpoint|none|config/urls.py DeployTestView|GET /api/deploy-test/ (404 in prod)|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|NO TEST|N/A|PRODUCTION_404|BROKEN_ROUTE (R73-P0-001)|Endpoint 404 in production on both hosts although defined; health works -> artifact-specific|Blocking production certification

======================================================================
MASTER COUNTS (STEP 1 - function inventory rows)
======================================================================
TOTAL_INVENTORY_ROWS: 141
MODULES_COVERED: 30 function areas (AUTH, CORE, DASHBOARD, STUDENTS, TEACHERS, STAFF, ATTENDANCE, SCHOOLS, FINANCE, EXAMS, REPORTCARDS, TIMETABLE, EVENTS, COMMUNICATION, AUDIT, LIBRARY, TRANSPORT, INVENTORY, PAYROLL, HR, REPORTS, SEARCH, DOCUMENTS, DISCIPLINE, HEALTH, HOMEWORK, HOSTEL, LMS, PORTAL, WHITE_LABEL, WORKFLOW, HELPDESK, VISITORS, DIGITAL_IDS, SAAS, AI, FRONTEND, SECURITY)
BACKEND_APPS_INVENTORIED: 37 (accounts, ai, alumni, attendance, audit, communication, core, dashboard, digital_ids, discipline, documents, events, exams, finance, health, helpdesk, homework, hostel, hr, inventory, library, lms, payroll, portal, reportcards, reports, saas, schools, search, students, teachers, tests, timetable, transport, visitors, white_label, workflow)
API_ENDPOINT_ROUTES_REGISTERED: ~470 across 37 urls.py files (see PHASE_77_COMPLETE_APP_INVENTORY summary)
MODELS_DEFINED: ~190 concrete Django models across 30 apps (see PHASE_77_MODULE audit)
FRONTEND_PAGES: 58 page components (plus 14 utility/panel modules)
FRONTEND_COMPONENTS: 13 shared components
ROLES_DEFINED: 18 canonical roles in backend (Role enum); frontend references additional non-enum roles (librarian, nurse, driver?, alumnus, platform_admin flag) -> gap noted
TEST_FILES: 71 test files across 30 of 37 apps; 7 apps WITHOUT tests (discipline, documents, health, homework, lms, search, transport)
FRONTEND_TESTS: 0 (no frontend test suite found)

======================================================================
STEP 1 COMPLETE - 2026-09-24
======================================================================
